frame	cv1	cv2	energy	cluster
10711	58.193595	7.589314	0.000000	1
10928	58.198067	7.591813	0.000015	1
10511	58.215182	7.592220	0.000073	1
17111	58.223487	7.596744	0.000159	1
17882	58.233997	7.597677	0.000201	1
17443	58.223948	7.590376	0.000225	1
17410	58.220294	7.589257	0.000248	1
10109	58.101635	7.581064	0.000255	1
16690	58.082733	7.574915	0.000311	1
18777	58.251540	7.601514	0.000390	1
19269	58.066539	7.575238	0.000485	1
329	58.261231	7.603840	0.000535	1
10746	58.074270	7.569521	0.000555	1
17455	58.242729	7.603380	0.000570	1
16276	58.271358	7.604730	0.000596	1
16071	58.226199	7.586687	0.000603	1
18296	58.117098	7.588307	0.000643	1
16404	58.083117	7.582109	0.000662	1
17207	58.154979	7.575332	0.000705	1
16975	58.272021	7.606287	0.000715	1
10373	58.257640	7.590700	0.000845	1
10479	58.085849	7.584723	0.000919	1
10282	58.307843	7.609720	0.001014	1
20400	58.043242	7.563516	0.001043	1
17500	58.028935	7.572824	0.001048	1
18725	58.320576	7.610742	0.001146	1
10449	58.306748	7.612473	0.001259	1
17471	58.198393	7.603631	0.001308	1
17312	58.347655	7.611767	0.001474	1
17397	58.155567	7.599046	0.001518	1
10456	58.229737	7.608456	0.001570	1
17491	58.099757	7.564251	0.001590	1
17899	58.264395	7.587182	0.001613	1
17710	58.364493	7.613844	0.001767	1
18550	58.347029	7.617521	0.001813	1
20087	57.961473	7.559932	0.001982	1
15002	58.035921	7.555719	0.002205	1
18118	58.188752	7.572364	0.002285	1
17593	58.204800	7.574580	0.002309	1
19456	58.298892	7.590061	0.002345	1
3827	57.945266	7.554480	0.002362	1
17609	58.163664	7.603591	0.002373	1
16362	58.351566	7.600819	0.002409	1
17029	58.221371	7.611285	0.002491	1
18508	58.252547	7.614770	0.002500	1
19448	58.034195	7.583710	0.002551	1
10316	58.011953	7.579479	0.002567	1
17346	57.954341	7.566579	0.002661	1
18464	58.401295	7.613436	0.002672	1
10488	58.158049	7.566787	0.002683	1
15952	58.088961	7.593814	0.002725	1
1401	57.930871	7.559838	0.002788	1
10152	58.111872	7.560471	0.002876	1
10598	58.064009	7.554833	0.003030	1
18388	57.977792	7.548177	0.003057	1
16217	57.917014	7.549075	0.003086	1
17969	58.410796	7.612422	0.003093	1
18620	58.408770	7.610750	0.003215	1
18604	57.981157	7.576463	0.003304	1
1380	58.021649	7.584539	0.003353	1
17458	57.896687	7.551303	0.003442	1
18605	58.312559	7.588113	0.003473	1
10031	58.018149	7.548425	0.003673	1
15519	57.923381	7.543444	0.003709	1
11128	57.918549	7.564352	0.003821	1
19231	58.401567	7.605042	0.003850	1
10766	58.423896	7.610306	0.003940	1
10999	58.328733	7.627308	0.004010	1
10092	57.882441	7.554760	0.004092	1
20331	58.108683	7.601263	0.004131	1
17134	58.287392	7.623837	0.004140	1
14946	58.340687	7.590740	0.004225	1
20336	58.468257	7.624153	0.004237	1
18788	58.405438	7.633295	0.004266	1
10829	58.175079	7.564221	0.004268	1
20096	58.187176	7.612568	0.004271	1
19972	57.927378	7.569305	0.004379	1
17868	58.226182	7.570958	0.004457	1
18394	58.323679	7.628545	0.004542	1
11022	58.454867	7.635274	0.004561	1
11148	58.279948	7.624356	0.004587	1
17653	57.983895	7.542623	0.004591	1
18846	57.936396	7.572308	0.004624	1
18650	58.037765	7.546622	0.004831	1
18808	57.938548	7.573559	0.004836	1
17406	58.325340	7.629786	0.004911	1
10201	58.362696	7.591893	0.005169	1
17268	57.939076	7.537393	0.005258	1
15791	58.248951	7.623040	0.005399	1
1846	57.829814	7.539157	0.005424	1
19018	57.979433	7.538909	0.005708	1
18860	57.977458	7.583995	0.005748	1
18111	57.977629	7.538462	0.005814	1
16255	58.505154	7.640904	0.005843	1
19214	57.811438	7.534692	0.006151	1
10329	58.385880	7.638971	0.006320	1
19744	58.156887	7.556729	0.006323	1
18364	58.473104	7.644277	0.006410	1
10170	57.865914	7.563219	0.006455	1
11053	57.797667	7.535982	0.006463	1
10788	58.388119	7.592886	0.006502	1
19053	57.812222	7.530888	0.006544	1
18115	57.794598	7.535878	0.006564	1
17715	58.054970	7.543945	0.006589	1
15768	58.449063	7.643968	0.006590	1
10194	58.487168	7.645643	0.006678	1
17391	58.039839	7.542131	0.006679	1
16759	58.367223	7.588459	0.006697	1
17036	57.993563	7.589419	0.006743	1
10852	58.067735	7.544734	0.006857	1
17823	58.351778	7.585238	0.006873	1
17773	57.892972	7.570768	0.006897	1
19981	58.479165	7.611015	0.006906	1
19224	58.525740	7.623591	0.006944	1
19266	58.086929	7.605155	0.007076	1
18719	58.021679	7.539036	0.007215	1
19148	57.927998	7.530822	0.007227	1
10251	58.562523	7.645828	0.007464	1
18668	58.569394	7.638161	0.007524	1
16819	58.257448	7.628885	0.007545	1
10108	57.766405	7.534041	0.007581	1
11025	58.443372	7.646756	0.007631	1
10200	58.424751	7.645590	0.007680	1
18921	57.775460	7.542816	0.007752	1
10187	58.395795	7.643560	0.007787	1
17359	57.964143	7.587192	0.007984	1
10669	57.814612	7.522810	0.008177	1
366	58.585968	7.646649	0.008178	1
10320	58.577052	7.649499	0.008179	1
939	57.972568	7.532151	0.008184	1
10712	58.532664	7.652161	0.008202	1
10988	57.819714	7.558368	0.008210	1
879	58.504051	7.612348	0.008250	1
19090	58.341551	7.580267	0.008260	1
18466	57.829519	7.522766	0.008261	1
18251	57.761960	7.541075	0.008265	1
10273	57.929390	7.581733	0.008337	1
18900	58.060392	7.540667	0.008385	1
17017	58.113820	7.611972	0.008493	1
17553	57.996516	7.594003	0.008571	1
17028	58.438163	7.597170	0.008595	1
16206	58.106178	7.611108	0.008617	1
11032	58.022541	7.598624	0.008753	1
17772	58.119057	7.613249	0.008769	1
16280	58.217674	7.559832	0.008844	1
11127	58.528519	7.616115	0.008910	1
17512	58.418296	7.648277	0.008999	1
19577	58.222174	7.559942	0.009123	1
16953	58.583656	7.655047	0.009141	1
18334	57.971219	7.529909	0.009165	1
830	57.908514	7.524596	0.009172	1
15089	57.742488	7.521374	0.009173	1
18643	57.802100	7.557340	0.009183	1
18105	58.533788	7.655905	0.009255	1
17357	57.723725	7.526897	0.009296	1
18321	58.409120	7.648213	0.009322	1
17580	58.583842	7.629557	0.009411	1
18245	58.575421	7.626921	0.009416	1
19994	58.127465	7.546605	0.009447	1
10229	57.778471	7.553264	0.009736	1
18743	57.718602	7.532922	0.009749	1
19336	58.125461	7.616023	0.009784	1
15380	57.872102	7.574606	0.009972	1
18653	57.995372	7.530547	0.010016	1
19515	57.856988	7.571724	0.010024	1
10432	57.723017	7.537634	0.010065	1
10143	57.762740	7.515726	0.010119	1
10542	57.707359	7.521680	0.010128	1
18056	57.713224	7.519079	0.010189	1
18584	58.406113	7.649920	0.010265	1
18020	57.859013	7.572703	0.010269	1
10909	57.796096	7.559439	0.010339	1
17909	57.837021	7.516924	0.010445	1
18177	57.918521	7.584458	0.010506	1
978	57.723294	7.515528	0.010534	1
